Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	GF	GF	Tot
Armitage, David	1	-	1	-	-	-		-													-	-					2
Baker, Steven	-	-	-	-	-	-	-	-	-	-	-	-	-												-	-	
Blake, Jason	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	2
Clarke, Raphael				1	-	-	-		-	-	-	-															1
Dal Santo, Nick	1	1	2	-	-	-	-	-	-	2	-	2	-	-	-		-	-	-	-	1	-	1	2	1	-	13
Dawson, Zac	-	-	-	2	-	-	-	-	-	-				-	-	-	-	-				-	-	-	-	-	2
Dempster, Sean													-	-	-	-	-	-	3	-	-	-	-	-	-	-	3
Eddy, Robert					1					-	1	-							-	1			-	-	-	-	3
Fisher, Sam			-	-	-	-	-	-	1	-	-	-	-	-	-	-	1	-	-	-	-	-	1	1	1	-	5
Gardiner, Michael		-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-			-	-	1	-		2
Geary, Jarryn	1	1	-	-	1	-	-	-			-	-	-	-	-	-		-	-	1	1	-					5
Gilbert, Sam	-	-	-	-	-	-	-	1	-	-	1	1	-	-	1	-	-	-	-	1	-	-	-	-	1	-	6
Goddard, Brendon	1	1	-	1	2	1	-	1	-	2	-	1	-	3		-	1	4	1	1	1	-	1	1	-	1	24
Gram, Jason	-	1	1	-			-	-							-	-	2	-	1	1	1	1	-	1	-	-	9
Gwilt, James	-	-	1	-	-	-	-	-	-	-	-	-	-	-	2	-	1	-	-	-	-	-	-	-	-	-	4
Hayes, Lenny	-	2	-	-	-	-	-	1	2	-	1	-	-	-	-	-	-	-	-	1		-	-	-	-	-	7
Heyne, Nick								-	-												-						
Jones, Clinton	-	-	-	-	-	-	1	1	-	2	-	-	-	-	-	-	-		1	1		-	-	-	-	1	7
King, Steven	-		1	-	-	-	-																				1
Koschitzke, Justin	1				1	-	-	-	-	-	-	1	-			-	-	1	-	-	-	-	-	-	2	-	6
Lynch, Tom																		-									
McEvoy, Ben	-	1						-	-	-	-	-	-	-	-		-	-	-	-	1	-	1	-		-	3
McQualter, Andrew	-	2	-	2	-	1	-	-	2	1	1	-	2	-	-	-	1		1	-	-	1	2	-	-	1	17
Miles, Luke																					-	-					
Milne, Stephen	-	-	-	1	-	-	1	-	-	3	1	-	1	-	1	-	-	1	1	1	1		2	-	-	-	14
Montagna, Leigh	1	1	-	2	-	1	1	-	-	1	1	-	-	-	1	1	-	1	-	2	-	-	-	1	-	1	15
Pattison, Adam		1												-	-	1					-						2
Peake, Brett	1	-	-	1	-				1	1	-	-	1	-	-	-	-	-	3	1	-	-	-	-	-	-	9
Ray, Farren	1	-	-	-		-	-	-	-	-	2	1	-	-	-	-	-	1	-	-	1	1	-	-	-	-	7
Riewoldt, Nick	1	2	1												-	-	1	2	-	1	2	-	1	1	-	1	13
Schneider, Adam	1	-	-	-	-	1	1	1	2	4	2	2	2	1	-	2	2	-	4	1	1		-	1	2	-	30
Stanley, Rhys									2	1	-	-	-	-						-							3
Steven, Jack						-	-						-	2	1	-	1	-									4
Totals	10	13	8	10	5	5	4	5	10	17	10	8	6	6	6	4	10	10	15	13	11	3	9	9	7	5	219
Opponent	SY	NM	CW	FR	PA	WB	CA	ES	WC	AD	RI	FR	GE	ME	BL	CW	HW	ES	PA	NM	RI	AD	GE	WB	CW	CW	
