Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	EF	Tot
Adkins, Damien						2	1					5	-	3	6	-		1						18
Banfield, Drew	5	3	8	7	3	3	9	4	6	2	7	14	11	3	6	5	4	2		10	5	4	5	126
Braun, Michael	5	4	2	7	4		2	4	6	2	5	7	4	7	6	7	3	9	6	8	7	9	2	116
Carroll, Trent	4	8	8	1	5	1	4	4	2	5			1		4	3		6						56
Chambers, Callum																			6	4	1	1		12
Chick, Daniel			7	6	11	7	7	2		4	6	2	8	5			2	6	3	4	7	8	4	99
Collica, Michael																	6	8	3	3	6			26
Cousins, Ben	19	11	7	6	20	2	15	7	14	21	9	10	13	6	9	14	15	9	13	12	10	6	10	258
Cox, Dean	6	2		1	4	5	2	2	2	7				4	7	7	10	5	4	6	5	13	6	98
Embley, Andrew	11	4	13	3	7	8	12	14	6	4	8	4	5	8	5	11	12				4		3	142
Fletcher, Chad	15	14	7	8	9	14	17	6	8	12	11	14	9	5	13	6				12	4	2	4	190
Gardiner, Michael	4	3	14	4	8	7	6	7	5	6	3	5	4		5	2					2	3	6	94
Gaspar, Travis	5	4	6			2					3													20
Glass, Darren				4				3	6	3	5	6	2	4	5	4	8	6		4		7	5	72
Green, Kasey	5	2	2		5	3	4	4	4	3	3	2	5	3	9	1	3	2	-			3	2	65
Haynes, David	9	5	4	3	5	6	3	2	6	10	8	5	1	3	6	1	5	5	6	4			4	101
Humm, Jeremy	8	4						4	3	-	-		7	7										33
Hunter, Adam			9	3	3	3	2	2	8	6	2		5	8	5	2	5	7	7	6	8	4	9	104
Jakovich, Glen	3	4	9	8	6	6	5		9	3	5	9	4	3	6	1	6	4	3	1	7	-		102
Johnson, Paul					1																			1
Jones, Rowan	8	11	9	9	5	5	6	13	4	5	4	7	8	6	4	6	8	9	10	12	7	2	11	169
Judd, Chris	12	11	8	20	13	11	8	11	7	9	11	10	11	11	20	11	9	3	8	7	15	10	10	246
Kerr, Daniel	9	13	14	15	4			11	9	16	11	8	10	13	16	8	6	7	9	8	14	14	4	219
Matera, Phillip	2	3	10	3	4	7	3	4	4		2				6	2	4	6	6	3	3	8	3	83
McDougall, Andrew												6	3	7	5	3	7	11	3		6	2		53
McIntosh, Ashley	6		5	3	-	8	6	5		2	5	2								1	2	4	2	51
Morrison, Chad	2	5	7	8	3	8	4	3	9			-												49
Munro, Kane						4	7		2	3	4								1					21
Read, Phillip					6	10	5							6			6	3	2	5	3	10	8	64
Sampi, Ashley		6	5	4	7	6	3	10	9	5	3	10	5	8	3	4	5	6		4	6	9	4	122
Selwood, Adam																			2				1	3
Sierakowski, David																			9	2			6	17
Staker, Brent																	5	5	4	4	1	3	3	25
Wilson, Troy	4	1										3		3					2					13
Wirrpanda, David	7	4	7	7				8	6	9	4	5	9	3	5	5	8	4	4	5	3	5		108
Wooden, Josh	7	3	5	1								3	4		4	3	2							32
Totals	156	125	166	131	133	128	131	130	135	137	119	137	129	126	155	106	139	124	111	125	126	127	112	3008
Opponent	PA	HW	SK	AD	FR	ME	GE	CW	RI	ES	WB	BL	KA	SY	CA	PA	HW	SK	AD	GE	ME	FR	AD	
