Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Barker, John	2	-	-	-	1	-	-	1	-						-	-		-	-	1	-	-	5
Bone, Randall			1																				1
Chapman, Nathan	-	-	-	-	-	1		-	-	-	2	-	-	-									3
Chick, Daniel	1	1	-	1	-	-	-	1	-	-	-	-	-	1	1		-		-	-	2	1	9
Crawford, Justin	1			1					1	-	-	1	1	-	-	-	2	1	-	-			8
Crawford, Shane	-	-	-	-	2	1	-	1	-	-	1	-	1	-	-	-		-	1	1	-	1	9
Croad, Trent	1	-	-	2	-	-	-	-	1						-	-	-	-	-	-	-	-	4
Dennis, Matthew															-	-							
Dixon, Ben		1	-	2	1	-	1	1	-	1	-	1	2	1	1	2	1	2	4	4	2	-	27
Dunstall, Jason	1			1	1	4	1	-	2	3	1	-	-	1								3	18
Fraser, Kane								-	-														
Graham, Mark	-	2	-	-	1		-				-	-	-			-	-	-	-	-	-	1	4
Harford, Daniel			-	-	-	-	-	-	2	-	2	-	-	-	1	1		1	-	1	1	1	10
Hassall, Jon	1	1	-	-		-	-	-	-	-	-	-					1	-	-	-	-	-	3
Hay, Jonathan	-	-	-	-	-	-	-			-	-	-	-	-	-	-	-				-	-	
Holland, Nick	-	-	1	-	2	3	2	1	-	-	-	2	1	-	1	-	2	-	2	1	1	2	21
Kappler, Darren	-							2	1	-	-	-	-	1	-	1	-						5
Kilmartin, Haydon			-	-	-	-	-	-				-		-	-	-							
Krummel, Brendan	-	1	1	1	-				-	-	-	-	1	-	-	1	1	1	1	-	1	-	9
Lawrence, Stephen	-	-	-	-																			
Lekkas, Angelo	1	-	2	-	1	-	-	-	-	-	-	-	-	1	-	-	-	-	1	-	-	-	6
Lloyd, Brad		-	1														-	-	-	-	-	-	1
Lord, Aaron	1	1	-	-	4	2	1	1	-	3	1	1	3	2	1	2	-	1	2	1	2	3	32
McCabe, Luke	-	-	-	-	-	-	-	-	-	1	-	-	-	1	-	-	-	-	-	-	1	-	3
Obst, Chris																	-	-	-	-	-	1	1
Rawlings, Jade						-	2	-	-	-			-	-	-	1	-	-	-	1	1		5
Robran, Jonathon					-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	1
Salmon, Paul	-	-			-	-	-	-	1	-	-	-	1	-	-	-	-	-	1	-	-	-	3
Tallis, Rayden	-	-				-	1	1		-	1	-	-	-		-							3
Taylor, Richard	-	-	-	1	-	1	1	-	-	1	-	-	-	-	-		-	-	-	1	1	-	6
Thompson, Nathan		-																-					
Treleven, Craig	-	-	-	-	-					-	-	-	-	-	1	2	-	1	-	1	-	-	5
Turvey, Nathan					-	-	-																
Vandenberg, Richard																	-						
Woods, Tony	-	-	-	-	-	-	-	-	-	-	-		-	1	1	-	-	-	-	-	3	-	5
Totals	9	7	6	9	13	12	9	9	8	9	8	5	10	9	7	10	7	7	13	12	15	13	207
Opponent	CW	PA	RI	SK	BL	GE	FR	WB	SY	ES	ME	WC	NM	CA	AD	CW	PA	RI	SK	BL	GE	FR	
