Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	EF	Tot
Ackland, Cain	7	5	9	2			10	10	12	8	3	12	14	9	11	3	12	8	5		10	9		159
Baker, Steven	9	10	13	14	13	13	17	21	18	17	8	21	13	16		23	14			12	19	21	19	311
Ball, Luke	11			21	26	21	20	18	28	26	18	25	18	22	19	21	28	17	22	17	27	29	25	459
Blake, Jason	18	14	13	17	25	17	18	9	8	15	15					9	12	9	15	6		13		233
Brooks, Barry																						15		15
Clarke, Raphael																			6	10	12	12	3	43
Clarke, Xavier		12	15	15	11							15	7	11	14				14	15	15	23	1	168
Dal Santo, Nick	17	19	31	22	21	34	26	22	20	29	15	15	21	23	20	27	8	22	28	15	26	33	15	509
Fiora, Aaron		14	12	5	13	17	11			10	5	8	17	8	9	11	13	16	11	18				198
Fisher, Leigh								15	25	18	16	17	18	10	16	22	13	19		18	16	22	13	258
Fisher, Sam	13	14	26	23	19	15	20	18	21	13	20	21	21	22	27	28	25	18	22	24	26	17	19	472
Gehrig, Fraser	9	8	8		8	15	3	11	7	7	8	10	10	8	10	11	17	10	13	5	15	14	5	212
Gilbert, Sam								4										9						13
Goddard, Brendon	22	10	13		22	25	29	17	23	23	12	33	24	26	19	21	22	17	18	22	29	27	23	477
Gram, Jason	25	13	9	21	22	21	23	27	19	21	8	24	18	21	19	33	29	25	20	18	21	19	15	471
Gwilt, James																		13	4					17
Hamill, Aaron	7	17	14	14		11	1														5	11	5	85
Harvey, Robert	27	24	4	23	23	22	13	13	27	18	18	15	24	17	25	23	23	19	23	29	25	21	20	476
Hayes, Lenny	26	26	38	20	22	22	25	34	11															224
Hudghton, Max	13	9	9	9	6	10	11		9	4	10	7	17	17	16	14	6	11	14	10	15		3	220
Koschitzke, Justin				3		2													7	8	9	9	12	50
Maguire, Matt	15	15	8	9	14	7	13	13	14	8	16	15	23	21	16	7	15	16						245
McGough, Mark									20	8	15													43
McQualter, Andrew			12	16	11		12					15	8	5	13	8	12							112
Milne, Stephen	13	15	10	13	5	8		15	11	9	10	12	16	12	11	14	12	9	15	13	21	13	16	273
Montagna, Leigh		18	24	10	14	19	18	22	17	17	12	19	21	23	16	21	34	12	19	21	28	20	16	421
Murray, Allan	4				10	11	5																	30
Peckett, Justin	12	7						13	11	14	10	16	9	10	26	18	15	11	18	12	10		13	225
Powell, Stephen	13	5						12						18	12	6	24	21			10		16	137
Riewoldt, Nick	17	17	11	12	14	21	16	15	13	16	23	11	18	19	23	13	15	16	26	22	10	17	20	385
Rix, Michael											5	9	4	11	7	4			3	5	7	2	5	62
Schwarze, Troy			10	10	6	9	8	13	13	10	6	9	7											101
Thompson, Andrew	8	17	16	12	5	18	7	12	17	1					12		16	8	20	9		21	14	213
Voss, Brett	16	16	10	10	17	10	25	14	8	17	20	8	17	16	12	25	19	17	11	17	16	16	13	350
Watts, Fergus	5																							5
Totals	307	305	315	301	327	348	331	348	352	309	273	337	345	345	353	362	384	323	334	326	372	384	291	7672
Opponent	WC	RI	BL	PA	FR	WB	GE	CA	KA	ME	SY	AD	HW	CW	ES	PA	RI	WC	GE	FR	WB	BL	ME	
