Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Baker, Steven	6	3	4	2	3	3	10	2	4	3	7	4	4	4		3	3	5	5	6	5	5	91
Ball, Luke	9	5	6	12	12	10	10	6	5							6	4	6	6	10	10	1	118
Black, Heath	5	4	1		14	1	2	4	4	8	5	5	9	7	6	10	7						92
Blake, Jason	6											3			6	3	6	7	5	10	5	7	58
Brooks, Barry	1	-		1	1	-																	3
Burke, Nathan	5	5	4	6	-	3	4	5	3	10	8	7	6	5	7	3	6		2				89
Capuano, Matthew	5	4	7				2	5	1														24
Clarke, Xavier	3	6	3	3	7	-	10	5	2	8	9	-	4	1	4	4	2	2	5	3	1	2	84
Dal Santo, Nick															7	9	5	4	11	13	7	4	60
Ferguson, Matthew												2											2
Fisher, Leigh																		7	3	5	5	6	26
Gehrig, Fraser	4	5	3	5	4	2	3	3	-	2	2	4	-	3	2	1		3	4	7	3	2	62
Goddard, Brendon				4	2	6	6	6	1	1	10	5	11	3	3		7	4	2	4	6	2	83
Hamill, Aaron		9		2	3	10	6	6	5	7	3			3	5	5	2	4	5	9	5	6	95
Harvey, Robert	11	14	9	3	10	11	10	7	7	18	13	11	6	7	10	11	14	12	8	12	4	11	219
Hayes, Lenny	16	10	11	4	14	10	10	11	5	7	17	14	9	10	4	9	11	10	12	10	12	10	226
Hudghton, Max	5	4	2	-	3	7	-	2					3	2	5	5	4	3	4	11	8	1	69
Jones, Austinn	4	8	5	4	8	7	2	-	5	2	3	8	5	6	5	7	7	2	4	6	7	3	108
Knobel, Trent										2	4		4	3									13
Koschitzke, Justin		-	5	3	3	5	8	4					4	1	3	3	4	9	6	3	6	5	72
Lawrence, Steven				2	4	5	6	3	1	9	8	8	8	6	10	10							80
Maguire, Matt	1						-	2	1	4	4	5	7	2	-	2	4	1	4	3	2	2	44
Milne, Stephen	1	2	-	-	-			-	2	4	1	5	1	1	1		2						20
Montagna, Leigh			5	-	-	-									4	7	7	8	2	8	8	3	52
Moyle, Brett	12	5	7	8	4	10					2	4											52
Murray, Allan										4	3	5	1					4		2	4		23
Oliver, Chris												1											1
Peckett, Justin			5	1		7	5	4	5	-	1	4	3	11	1	3	1					5	56
Penny, Luke	7	2	1	1	2	-	2	6	2	1	3							4	4	9	1	3	48
Powell, Stephen	9	7	4	2	7	11	13	11	7	8	8	10	6	9	12	13	8	13	8	6	17	13	202
Riewoldt, Nick	4	6	4	4	7	4	5	7	5	6	7	2	2	5	2	6	4	7	2	6	11	4	110
Schwarze, Troy	3	1	3						2	1	-	6	-	2									18
Thompson, Andrew	11	6	9	8	10	7	8	7	8	4			8	7	7				-	10	5	9	124
Voss, Brett							-		6	5	6	6	4	5	9	6	3	3	5	3	3	8	72
Wulf, Daniel	1	1	2													4	8	-					16
Totals	129	107	100	75	118	119	122	106	81	114	124	119	105	103	113	130	119	118	107	156	135	112	2512
Opponent	KA	AD	WC	RI	GE	WB	CA	FR	CW	HW	BL	PA	ME	ES	SY	KA	AD	WC	RI	CA	WB	GE	
