Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	EF	Tot
Banfield, Drew	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Braun, Michael	-	-	-	-	-	-	2	-	-	-	-			-	-	-	1	-		-	-	-	-	3
Carroll, Trent							-										-			-	-			
Chambers, Callum	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-		
Collica, Michael	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Cousins, Ben	1	1	-	-	-	2	-	-	3	-	-	3	3	-	-	-	-	-	-	-	-	3	-	16
Cox, Dean	-	-			-	-	-	-	-	-	2	-	-	-	-	-	-	-	-	-		-		2
Embley, Andrew	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-				-	-	-			
Fletcher, Chad	3	-	-	-			-	-	-	-	-	-	-	-	3	-	-	-	-	-				6
Gardiner, Michael	-	-	1	-	3	-							-		-	-	-	-	2	-	-	-	-	6
Gaspar, Travis			-	-	-	-	-	-	-	-	-	-												
Glass, Darren	-	-	-	-	-	-				-		-	-	-						-	-			
Green, Kasey					-	-	-							-	-	-	-	-	-	-	-	-	-	
Haynes, David			-			-	-	-			-	-				-	-	-				-	-	
Humm, Jeremy								-	-	-												-	-	
Hunter, Adam			-	-					-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Jakovich, Glen	-	-	3	-	-	-	-	-	-		-	-	-	-	2	-	3	-	-	-	-	-	-	8
Jones, Rowan	-	-	-	-	-	-	-	-	-	-	-	-	-											
Judd, Chris		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Kerr, Daniel	-	-	-	-	1	-	3	-	-	-	-	-	1	-	-	-	2	-	-	-	-	2	-	9
Lynch, Quinten												-	-	-	-	-	-	-	-	-	-		-	
Matera, Peter	-	-	-	-	-	-	-				-	-	-	-	-				-	-	-	-	-	
Matera, Phillip	-	-	-	-			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1
McDougall, Andrew																						-	-	
McIntosh, Ashley	-	-		-			1	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	1
Merenda, Mark	-				-	-					-	-	-	-										
Munro, Kane						-																-	-	
Prior, Michael																-			-					
Sampi, Ashley														-						-	-		-	
Sierakowski, David									-	-	-						-	-	-					
Taylor, Richard	-	-	-	-	-													-				-		
Tuckey, Brent	-	-						-																
Williams, Andrew	-	-	-	-	-	-	-	-	-	-		-	-		-	-	-	-	-		-			
Wilson, Troy	-	-	-	-	2	-	-	-	-	-					-	-						-	-	2
Wirrpanda, David	-	-	-	-	-		-	2	2	-	-	-	-	-	1	-	-	-	-	-	-		-	5
Wooden, Josh					-	-	-	-	1	-	3	-	-	-	-	-	-	-	-	-	-	-	-	4
Totals	4	1	4	0	6	2	6	2	6	0	5	3	4	0	6	0	6	0	2	0	0	6	0	63
Opponent	FR	CW	WB	ME	BL	PA	KA	RI	HW	SK	SY	CA	AD	GE	ES	FR	CW	WB	ME	BL	PA	KA	ES	
