Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Ball, Matthew																						4	4
Barker, John		5	6	12	10	1						9											43
Bateman, Chance	20	12	14	15	21	12	23	19	14	20		18	2										190
Beaumont, Simon		5	11	10	6	4								1									37
Boyle, Tim													7	10	3								20
Brennan, Luke	2							4	12	7	8	6	6	5	7	7	8				10	7	89
Brown, Campbell	7	10	11	15	9	11	11	10	6	8	14	13			14					9			148
Campbell, Robert	1																						1
Clarke, Tim		12	8	17	15	8	19	8	14	13	8	11	13	17	9	21	7	12	17	16	8	12	265
Crawford, Shane	13	14	10	24	9	15	22	22	24	24	14	20	19	19	17	12		19	18	25	16	15	371
Croad, Trent	11	9	18	20	11	10	9	15	4	16	8	8	10	16	9	11	14	7	13	15	5		239
Dawson, Zac																					11	5	16
Dixon, Ben	3			2	16	9	3	4	10	8	1	9	10	13	10	9	8	2	7	8	3	5	140
Everitt, Peter	3	9	11	11	10	8	10	13	13	16	4	10	12	7	14	12	11	5	7	7	14	7	214
Franklin, Lance	3	6	6	10	5	10	4	6	7	9	7	3	11	12			10	6	2	3	10	7	137
Greene, Steven									15		5			18									38
Hay, Jonathan	4	10	3	3		8	8	3	4	2	13	8		8	1	3	8	6	13	9	8	10	132
Hodge, Luke	13	12	11	11	18	22	16	23	16	17	15	15	17		15	15	21	18	20	19	10	10	334
Holland, Nick	9	2									3												14
Jacobs, Danny	7	11	4		13		4	14	13	7	8				6	17	25	21	9	15			174
Ladson, Rick	7	11	11	5	10			7	15	14	16	11	13	7	4	5	15	9					160
Lekkas, Angelo														11	15	13	15	11	9	11	8	8	101
Lewis, Jordan			13	12	13	1	12	5	9	9	18		15	9	8	16	15	15	9	13	8	7	207
Lonie, Nathan	11	8					8							18	19	19	16	17	13	13	9	9	160
Miller, Harry	3	13	8	14	6	9	2					6	10				6		5	7	7	5	101
Mitchell, Sam		14	6	18	15	10	18	19	17	19	12	22	15	7	1								193
Murphy, Tom																						3	3
Nixon, Bo																11							11
Osborne, Michael	2			9	8	17	12	15	6	13	9	9	7	8	7	12		4	9	3	5	11	166
Ries, Nick				15		5	12	12		8	11	4					12	7	10	12	5		113
Roughead, Jarryd			11	6	2			8	2	4			3	3	2	8	12	15	16	11	9	7	119
Sewell, Brad	9	-									10	10	6	4	15	5	15	8	18	9			109
Smith, Joel	7	7	18			12	17	16	16	10	18	9	10	9	19	10	17	20	11	11	13	8	258
Taylor, Simon			2	6	1	7	5	4	5	1		2	1			4	3	5	10	3	2	2	63
Thurgood, Josh	2	8	-		9	12	7						3								3	12	56
Vandenberg, Richard	3	12	12	23	10	6	14	10	11	11	17	17	12	12	7	7	20	12	18	15	16	7	272
Williams, Mark	3	4	7	7	9	6	6	10	7	6	5	5	3	5	5	-	9	5	3				105
Young, Clinton																6	4	10	9	4	8	8	49
Totals	143	194	201	265	226	203	242	247	240	242	224	225	205	219	207	223	271	234	246	238	188	169	4852
Opponent	SY	RI	ES	BL	KA	CA	WC	ME	FR	CW	WB	SK	PA	GE	AD	KA	CA	WC	BL	ES	RI	SY	
