Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	Tot
Barrett, Jake																						-	
Bugg, Tomas	4	-	2	2	2	1	2	1	1	3	1	2							2	1	-	1	25
Buntine, Matt						3	1	5	4	4	4	2	7	9	2		3						44
Cameron, Jeremy	2	-	-	1	1	1	1	1	-	1	-	-	1	-	-	2	3	5	1	-	1	-	21
Coniglio, Stephen	-	1	2	-	2	-	-	3	-	1	2			2	4	-	2	3		-	-		22
Corr, Aidan	4	4	3	5	4		3		10	2		4	11	6	8	7	2	6	11	7	6	10	113
Davis, Phil	9	6	8	10	12	11		5		10	9						6	7	3				96
Downie, Tom													2	3	4	3	4				4	3	23
Greene, Toby	-	-	1	-	1	-	-	-	1	-	-	-	3	1	2	-	3	1	-	1	-	-	14
Griffen, Ryan	2	-	-	2	1	4	-	2	1	1	1	-	5	1	2	-	4	4	3	-	-		33
Hampton, Curtly	2												3	1	-	2							8
Haynes, Nick	3	5	1	3	4	1	4	4	4		6	6		4	3	7		4	4	4			67
Hoskin-Elliott, Will					-	-	-	-	1	-	2						-	-	4	1			8
Kelly, Josh	1	1	1	-	-			1	-	-	2	1			-	-	2	2	1	-	-	-	12
Kennedy, Adam						1	1	1	-				-								3	3	9
Lamb, Jed																2	-						2
Lobb, Rory												1	3	5	1	5	2	2	2	4			25
Marchbank, Caleb												4	3							3	2	1	13
McCarthy, Cam	1	-	-	1	1	-	1	1	-	-	-	1	1	-	-			1	1	-	1	-	10
Mumford, Shane	2	3	2	1	1	7	4	5	3	5	5												38
Palmer, Rhys	1	-	-	1								1	-	-	1	-		-	-	-	-	-	4
Patfull, Joel	4	4	8	8	6	5	3	7	6	2	2					3	6	1	2	2			69
Patton, Jonathon																		-	1	1			2
Phillips, Andrew			-															4	6	2			12
Plowman, Lachie																					4	6	10
Scully, Tom	-	1	1	-	1	-	2	-	1	1	2		1	1	-	-	-	-					11
Shaw, Heath	8	3	3	2	5	1	7	4	4	-	3	4	2	3	1	2	1	2	4	4	2	4	69
Shiel, Dylan	-	2	-	4	-	-	1	-	2	1	1	-	1	-									12
Smith, Devon	5	-	2	4	-	2	-	-	1	-	1	-	1	-	1	1		2	-		-	-	20
Steele, Jack												-	2	-	-	-	1		-				3
Stewart, James				-	2	1	1	2	2	1	-	2	-				1				-	3	15
Tomlinson, Adam	2	-												3	6	1	1				1	1	15
Townsend, Jacob																						1	1
Treloar, Adam	-	-	-	2	-	-	-	-	-	1	-	-	-	-	-	1	-	1		-	-	-	5
Ward, Callan	1	-	1	2	1	-	-	-	-	3	1	-	1	1	-	-	-	-	-	2	-	2	15
Whitfield, Lachie	-	1	1	4	2	1	-		-	-	2	3	1	-	1	1	-	2	1	2	3	3	28
Williams, Zac						-	-	-				3	2	5	1	4			2	3	1	2	23
Wilson, Nathan		-	-	3	2					3	2	1					1	2	3	3	3	7	30
Totals	51	31	36	55	48	39	31	42	41	39	46	35	50	45	37	41	42	49	51	40	31	47	927
Opponent	SK	ME	SY	GC	WC	HW	CA	AD	WB	BL	CW	NM	RI	SK	GC	GE	FR	ES	PA	SY	CA	ME	
