Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	Tot
Adcock, Jed	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	
Aish, James	-		-	Off			-	-	-			-	-	-	On	-							1/1
Andrews, Harris			-	-	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	Off	0/1
Beams, Claye	-	-	-	-	-	-		-	-														
Beams, Dayne	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-						
Beasley, Hugh										-	-	-	-			Off					-		0/1
Bewick, Rohan	-	-	-	-	On				-	-	-	-	-	On		-	-	-				-	2/0
Bourke, Jordon										-	-	-	-	-									
Christensen, Allen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Clarke, Justin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			Off	-	0/1
Close, Michael		Off																					0/1
Cutler, Tom				-	-	On	Off			-	-	On							-	-	-	-	2/1
Dawson, Liam								Off	-	On						-	-	-	-	-	On	-	2/1
Evans, Billy																		Off	On	-	-	-	1/1
Freeman, Jonathan																	-	-	-	-	-	-	
Gardiner, Darcy			Off	-	-	-	-	-					-	Off									0/2
Golby, Mitch				-	-	-	On	On															2/0
Green, Josh	-	-	-	On	-	-	-	-	-	-	-	-	-							On	-	-	2/0
Hanley, Pearce										-	-	Off		-	Off		-	-	-	-	-	-	0/2
Harwood, Ryan									Off			-			-								0/1
Lester, Ryan	-	-				-	-	-	-	-	-		-										
Leuenberger, Matthew	-	-				-	-	-	-	Off	-	-	-	-	-	-	Off						0/2
Maguire, Matt		-	-																				
Martin, Stefan	-	-	-	-	-	-	-	-	-	-	-	-			-	-	-	-	-	-	-	-	
Mayes, Sam	On	-	-							-			On	-	-	-	-	-	-	-	-	-	2/0
McGrath, Jaden	-	-	-																				
McGuane, Luke																		-	-	-	-		
McStay, Daniel	-	-	-	-	-	-	-	-			-	-	-	-	-	On	-	-	-	-	-	-	1/0
Merrett, Daniel	-													-	-	-	-	-	-	-	-	-	
OBrien, Zac		On							On	-	-							On	-	-		On	4/0
Paparone, Marco	-	-	-	-	-	Off	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0/1
Redden, Jack	-	-	-	-	-	-	-				-	-	-	-	-	-	-	-	-	-			
Rich, Daniel	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	
Robertson, Nick				-	-	-	-	-	-	-	Off			-	-	-	On						1/1
Robinson, Mitch	-	-	-	-	-	-	-	-	-	-	On	-	-		-	-	-	-	-	-	-	-	1/0
Rockliff, Tom	Off			-	Off	-	-	-	-					-	-	-	-	-	-	-	-	-	0/2
Staker, Brent			-		-								Off	-	-	-							0/1
Taylor, Lewis	-	-	On	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1/0
West, Trent																			Off	Off			0/2
Zorko, Dayne	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Totals																							
Opponent	CW	NM	RI	WC	GC	CA	PA	ES	SK	GW	WB	AD	FR	SY	ME	NM	GE	GC	CA	AD	HW	WB	
