Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	EF	SF	Tot
Bateman, Chance	-			1	1		-	-	-	1	1	-	-	-	-	1	-	2	1	-	-	-	1	1	10
Birchall, Grant	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1	-	-	-	-	-	1	-	1	-	4
Boyle, Tim	-	2	-	-	2	-	2	1	2	2	1	1	1					1	-	1	-	1	-	-	17
Brown, Campbell		1	2	-	1	2	-	-	1	2	2	-	-	-	-	-	1	-	-	1	4	1	2	-	20
Campbell, Robert	-	-	-	1	1	-	-	-	-	-	2	1	-	1	1	1	-	-	2	1	1	-	1	3	16
Clarke, Tim	-	-																							
Crawford, Shane		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Croad, Trent	-	2				1	-	1	-		2	4	1	-	-	-	-	2	2	1	-	-	1	-	17
Dixon, Ben		1	-	-	2	-	-	-		-					-	1	-	-	-	1	1	-	-	-	6
Dowler, Beau																	-								
Ellis, Xavier	-	-	-	-	-					-		-	-	1	-	-				-	-				1
Franklin, Lance	1	1	1	1	-	1	1	2	-	-	2		1	1	4	2		-	2	-	5	1	-	2	28
Gilham, Stephen	-	1	1	-	-	-	-	-	-	1	1	-	-	3	-	1	-	-	-	-	-	-	-	-	8
Guerra, Brent	-	-	-	-	-	-	-	1	-	-	-	-	-	-	1	-	-	2	-	-	-	-	-	-	4
Hodge, Luke	-	1	-	1	-	-	1	-	2	-	-	3	1	-	1	1	1	2	1	2	1	-	1	1	20
Jacobs, Danny	1	1	-	-					-	-	-	1		-											3
Ladson, Rick	-	-	-		-	1	1	1	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	3
Lewis, Jordan	2	-	1	-	-	-	-	-	1	1	-	1	2	-	1	1	-	-	2	-	1	-	1	-	14
Little, Matthew																-									
McGlynn, Ben	-	-	1	-	1	-	-	-	-	-	-	-	-	1	-	-	1	-	-	-		-			4
Mitchell, Sam	-	-	-	1	-	-	-	-	1	-	-	-	-	-	-	-		-	-	-	-	-	1	-	3
Moss, Garry							-																		
Murphy, Tom					-	-	-										-								
Osborne, Michael	-		1	-	1	-	-	1	1	-	-	-	1										-	-	5
Roughead, Jarryd	-		-	1	1	1		2	-	-	1	-	3	1	-	-	-	1	3	1	1	-	2	-	18
Sewell, Brad	-	1	-	-	-	-	1	-	-	-	-	1	1	-	-	-	-	-	-	-	-	-	-	-	4
Smith, Joel								-	-	-	-	1	-	-	-	-	-	-	-	-	-	1	-	-	2
Taylor, Simon	-	-	-	-	-	1	-	-	1	1	-	1	-	-	1	2	-	-	1	1	-	-	-	-	9
Thorp, Mitch															-										
Thurgood, Josh					-									-											
Tuck, Travis																	-								
Vandenberg, Richard						-											-	-	-		-	-	-	-	
Williams, Mark	-	-	-	-																					
Young, Clinton	-	-	-	-		-	-	-	-	-	1	-	-	-	1	-	-	1	1	-	1	-	-	-	5
Totals	4	11	7	6	10	7	6	9	9	8	13	14	12	8	11	10	3	11	15	9	16	4	11	7	221
Opponent	BL	ME	KA	GE	WB	ES	FR	SK	WC	PA	SY	CA	CW	AD	RI	SK	KA	ES	BL	PA	WB	SY	AD	KA	
