Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	GF	Tot
Abraham, Winston	1	2	2	3	1	3	2	2	-	2	4	2	3	2	3	2	3	8	1	1	1	1	1	4	2	56
Allison, Brett				1	-	2	1	2										2	1					2	1	12
Anderson, Brady	2	2	1	1	1	3	3	1	-	-					1	2	-					-				17
Archer, Glenn	5	3	-	5	3	3	3	10	3	6	5	6	2	5	6	5			1		5	4	5	5	3	93
Bell, Peter	2	3	4	2	4	4	2	3	5	3	2	-	2	5	2	-	2	4	3	2	2	1	3	5	2	67
Blakey, John	7	9	4	-	5	5	4	7	4	3	3	2	1	8	2	1	8	7	2	-	1	5	1	4	4	97
Capuano, Matthew	3		2	1	3	-												3	2	4	-	3	-	2	2	25
Carey, Wayne	5	9	5	12	6	11	6	6	4	8	11	5	9	7	14	11	11	3	6	8	9	7	8	7	5	193
Chandler, Brett		-	-					2	1	2	-	1	3	3	1	-	-	1	2	-			-			16
Cochrane, Stuart						-							-	1												1
Crocker, Darren											3	-	1			2	1			1	-					8
Freeborn, Glenn	2																	2	3	-	1	2	-	-	3	13
Grant, Shannon	2	3	2	6	5	3	3	5	-	2	1	1	-	3	3	-	5	10	3	2	1	1	6	3	-	70
Groom, Chris	2	1								1																4
Harvey, Brent			9	5	1	1	1	1	1	2	1	3	-	3	3	1	2	1	2	-	-	-	3	1	3	44
Hewitt, Evan	-	5	2	2	4	3	1	1	1	4	4	5	3	2	-	2	3	3				1				46
King, David	1	1	-				4	11	4	2	3	-	3	1	2	1	3	1	5	4	2	-	1	1	4	54
Longmire, John				3	-			3	6	2	8	4	1				1						-			28
Martyn, Mick	3	1	4	1	-	2	3	3			1			4	1	1	5	3	2	5	1		1	8	2	51
McCartney, Jason	1	3	4	4	6	3	1	1	1	5	5	4	5	3	2				6	1	3	3	1	1	1	64
McKernan, Corey			2	7	2	4	5	3	6	3			4	3	5	3	5	5	3	10	4	2	1	11	3	91
Mellington, Anthony		3	-			-						2	-													5
Miles, Dion											2	-														2
Pickett, Byron	1	4	5	3	3	-	-	5	3	1	2	4	2	3	1	5	-	2	1	3	4	5	1	3	3	64
Pike, Martin	1	1	2	5				1	1				2	3	-	3	3	1	2	3	2	4	5	1	4	44
Roberts, Mark											1	2	4	1	5	1	9	10	4	3	1	1	2	3	4	51
Rock, Anthony	2	-		5	2		2	3	7	3	-	2				4	2	2		4	1	2	1	1	1	44
Scott, Robert	5	-	3	1	-	1	-	1	1			-	-	1	-	1	3	3	1	1	-	2		2	1	27
Sholl, Craig	9	3	3	2	1	3	-	-	2	6	4	3	3		1	7	6	2	6	2	1	4	5	2	1	76
Simpson, Adam	1	4			2	3	1		3	-				1	2	-	2	5	5	4	-	2	2	7	2	46
Stevens, Anthony	8	2	4	2	3	6	2	3	1	1	3	1	6	4	1	5	5	5	3	2	-	5	6	4	8	90
Stevens, Danny							-			3	2															5
Watt, Shannon														1	-											1
Welsh, Scott	3	2	1	2	2	1	-		5	4	1	3		-												24
Totals	66	61	59	73	54	61	44	74	59	63	66	50	54	64	55	57	79	83	64	60	39	55	53	77	59	1529
Opponent	WC	ME	PA	BL	FR	AD	WB	SY	CA	GE	CW	RI	HW	ES	SK	WC	ME	PA	BL	FR	AD	WB	ES	ME	AD	
