Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	EF	SF	Tot
Brennan, Jacob						1	1	-	-	1	1	-	1	-	2	-			1	1		-	-	-	9
Brown, Mitch			1		-		-					-	1		1			1				-			4
Butler, Sam					1	-	-	1	1					2	-	-	-	1			-	-	1	-	7
Cox, Dean	1	1	1	2	2	3	3	3	-	1	2	3	2	5	1	-	-	-	3	1	1	1	1	1	38
Dalziell, Bradd			-																	-					
Darling, Jack	4	-	-	3	2	1	2	4	1	2	1	-	1	-	1	1	3	1	-	3	1	1	1	3	36
Embley, Andrew	-	-																	-	-	-	-	-	-	
Gaff, Andrew	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	1
Glass, Darren	-	2		1	1	-	1	-	4	1	1	-	1	1	1	-	2		1	1	-	-	2	2	22
Hams, Ashton	-	-	-	-	-	-				-	-	1	1	-		2	1	-	-	1					6
Hill, Josh	2	-	1	1	1	3	1	2	1	1	1	-	1	2			-	-	1	-	1	1	2	1	23
Hurn, Shannon	1	-	3	-	1	2	-	1	-	1	-	1	1	2	3	-	2	-	-	-	-	1	3	-	22
Kennedy, Josh	4	2	-	4	2																1	-	-	1	14
Kerr, Daniel	-	-	-	-	1	-	-	-	1	-	-	-	-	-	1	-	-	-	-	-	-	-	-	1	4
Lycett, Scott						-	1																		1
Lynch, Quinten	2	1	3	-	1	1	1	1	1	-	-	2	2	-		-	2	2	1	1			1	-	22
Mackenzie, Eric	-	-	1	3		1	-	2	3	-	1	1	-	-	-	2	1	-	2	-	-		1	-	18
Masten, Chris	1	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	2	-	-	-	-	-	-	-	5
McGinnity, Patrick			1	-		-	-	-	-	1	-	-	1	1	-	-	-	-	-	-	-	-	-	-	4
Naitanui, Nic	1	2	1	-	2			2	4	-	3	3	3	3	1	-	5	1	4	-	4	2	3	1	45
Neates, Ryan							-																		
Newman, Murray													-	-	1	-									1
Priddis, Matt	-	-		-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Rosa, Matt	1	1		1	-	-	1	-	1	1	1	-	-	-	-	1	-				-			-	8
Schofield, Will	1	1	2	-	1			1	-	-	-			2	1	1	1	1	-	1	-	3	1	1	18
Selwood, Adam	1	1	1	-	-	-		-	1	1	-				1	-	-	1	-	-	-	-	-	-	7
Selwood, Scott	-	-	2	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	1	-	4
Sheppard, Brad						-	-	1	-	-	-	1	-		-	-	-	-							2
Shuey, Luke	-	-	1	-	-	-	-	-	-		-	-	-	-			-	1	-	-	-	-	-	1	3
Smith, Ashley	-	-	-	-	1																				1
Stevens, Koby			1					-						-	-										1
Strijk, Andrew																					-	-			
Swift, Tom										-	-	-			-			-	-						
Waters, Beau	-	-	1	-	1	1	2	1	2	-		2	1			4	1	2	1	1	1	1	-		22
Totals	19	11	20	15	17	13	13	19	20	10	11	14	16	18	17	11	20	11	14	10	10	10	17	12	348
Opponent	WB	ME	GW	HW	RI	NM	ES	SK	FR	BL	CA	CW	GC	NM	SY	AD	BL	FR	GE	PA	CW	HW	NM	CW	
