Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	EF	SF	Tot
Addison, Dylan																				-		-			
Baird, Travis																-	-	-							
Birss, Shane																			-	1	-				1
Boyd, Matthew	1	-	2	1	-	-	-	-	1	1	-	1	3	3	1	-	2	1	-	2	1	-	2	-	22
Cooney, Adam	1	-	-	3	-	-	-	-	-	1	1	-	-	-	2	2	-	1	2	-	-	-	-	1	14
Cross, Daniel	-	3	1	1	1	4	2	1	1	1	1	2	-	-	1	1	2	-	3	1	-	1	1	2	30
Eagleton, Nathan	2	1	-	-	-	2	1	1	-	-	2	1	-	-	-	-	-	-	-				-	1	11
Faulkner, Cameron																		1	1	-					2
Giansiracusa, Daniel	1	1	1	-	1	1	-	1	-				1	-	1						2	1	1	2	14
Gilbee, Lindsay	-	-	1	3	-	-	-	-	1	-	-	-	1	-	1	-	-	2	-	-	-	-	-	1	10
Grant, Chris	1	2	-	-	-	-	-	1	3	2	1	4	2	-	-	-	-	-	-	1	1	4	1	3	26
Griffen, Ryan	1	-	1	1	2	-	-	2	-	1	1	1	-	-	-	2	-	-	-	2	2	2	1	-	19
Hahn, Mitch	-	1	1	-	1	2	-	-		1	1	1													8
Hargrave, Ryan	2	3			2	2	-	-	3	1	2	-	-	-	1	2	3	1	3	-	1	2	-	1	29
Higgins, Shaun									-	-	2	-	-												2
Johnson, Brad	-	1	2	1	-	1	-	1	2	-	-	-	-	-	-	-	2	2	1	1	-	-	1	1	16
Lake, Brian	1	1	1	1	-	2	2	-	1	-	4	-	2	1	1	-	-	-	1	1	1	1	1	1	23
McCormack, Damien															-	-	-	-							
McGuinness, Kieran								-						1					1						2
McMahon, Jordan	-	1	-	2	1	1	1	-	1	1	2	-	1	2	2	-	1	-	1	1	2	-	-	2	22
Minson, Will	1	2	-												1	1	1	2	1	-	2	2	1	2	16
Montgomery, Brett			-	1	1	2	1	3	1	1	1	1	-	-	-						2	-	1	3	18
Morgan, Adam	-	1	1																						2
Morris, Dale	-	-	-	-	1	2	-	1	1	-	-	-	2	-	-	-	-	1	-	1	2	-	1	1	13
Murphy, Robert	2	-	-	-	-	-	-	-	-																2
Power, Sam	-	-	-	-						1	-	1	-	1	2	-	-	-	-	-	-	-	2	-	7
Ray, Farren				-	-	1	-	-	-	4	1	-	-	1	-	-	-	-	1	-	1	1	-	4	14
Robbins, Matthew	-	-	-	-	1	1	-	-	1	1	-	1	1	3	2	2	2	1	-	1	3	1	1	-	22
Skipper, Wayde	1	1	-	-	-		1		1	-	-	-	1	-											5
Smith, Rohan	-	1	-	1	1	-	-	1	1	1	-	-	-	1	1	-	1	-	1	-	-	-	-	-	10
Street, Peter				3	1	-	1	-	1	-	1	3	-	5	2	2	1	-	1	2	-	-	1	2	26
West, Scott	1	-	2	-	1	2	1	1	-	1	-	-	-	3	2	-	1	-	-	-	2	1	-	-	18
Wight, Cameron						1										-	1			-	-	2	-	1	5
Totals	15	19	13	18	14	24	10	13	19	18	20	16	14	21	20	12	17	12	17	14	22	18	15	28	409
Opponent	RI	ME	ES	GE	AD	SK	PA	SY	CW	HW	FR	BL	WC	KA	CA	GE	ME	RI	PA	AD	SK	ES	CW	WC	
