Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	Tot
Allen, Scott							-	-			-										-	-	-	
Beveridge, Luke	-								-	-	-	-	-	1	-	-	-	-						1
Cameron, Leon	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Cox, Simon									-	1														1
Croft, Matthew	-	-	1	-	1	3						-	-	-	-	-								5
Darcy, Luke							-	4		8														12
Dimattina, Paul																		-	-					
Ellen, Shane																	-	-	-	-	1	-	-	1
Ellis, Craig																				-	-			
Grant, Chris	1	-	-	1	-	-	-	1	1	2	1	-	-	-		1	1	-	1	-	1	-	-	11
Grgic, Ilija	5	8	9	13	19	6	4		1		9	-	5	-	9	1	1	2	2	3	1	3	2	103
Griffin, Daryl									-	-	-	-	-	-	-	-	-		-	-	-	-	-	
Hargraves, Daniel		-	-		-	-					1				2	1	1	-	3	-	1	1	-	10
Hunter, Mark	-	1	-				-	-						-	-		-						-	1
Johnson, Brad	-	-	-	-	-	-	-	-	-	-	2	-	-	-		-		-	-	-	-	-	-	2
Johnston, Michael				-									-											
Kellett, Nigel	-	-	-	-	-	-	-					-	-	-	-	-	-	-	-	-	-	-	-	
Kolyniuk, Steven	-	-	-	-	-	-		-	-	-					-	-	-	-	-	-	-			
Koster, Kym				-	-	-	-					-	-		-	-	-	-	-	-	-	-	-	
Kretiuk, Steven	-	-			-	-				-														
Lane, Tyson	-	1	-	-	-	-				-	-									-				1
Liberatore, Tony	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
MacPherson, Stephen							-	-	-	-	-	-	-	-										
Martin, Michael								-	-		-													
Nichol, Andrew												-	-	-										
Nicholson, Brad				-				-	-		-	-	-	-	-	-	-	-	-	-	-	-	2	2
Osborne, Richard	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Phillipou, Sam								-	-	-														
Quill, Peter				1	-		-					-	-	-	-	-	-	-	-	-	-	-	-	1
Romero, Jose	-	-	-	-	-	-	-	-	-	-	-			-	-	-	-	-				-		
Sexton, Ben	-		-	-											-				-	-	1	-	-	1
Sir, Sedat	-	-	1			-	-	1																2
Smith, Rohan		-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1
Southern, Daniel			-		-	-	1	-	-	-	-	3	2	-	-	1	-	-						7
Standfield, Barry	1	9	-	3	2	4	-	1	-	2	-	5	3	1	1	1	1	1	3			-	2	40
Wallis, Stephen	-	-	-	-	-	1	-	-	1	-	-	-												2
Watts, Jason	-	-	-	-	-	-													-	-	-	-	-	
West, Scott	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1
Wynd, Scott	13	10					18	17	6	9	10	12	21	25	25	23	19	16	19	14	23	24	18	322
Totals	20	29	11	18	22	14	23	25	10	22	23	20	31	27	37	28	23	19	28	17	28	28	24	527
Opponent	SY	HW	CA	ME	FR	GE	SK	NM	ES	RI	AD	CW	BB	FI	WC	SY	HW	CA	ME	FR	GE	SK	GE	
