Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	EF	SF	Tot
Barker, John	1	2	2	-	1	1	1	2	1	-		-	1	-	-	-	-	-	-	1	1	-	1	-	15
Barlow, Kris	2	-	2	1	1	3	1	1	1	2	2	-	1	1	2	3			2	1	-	-	1		27
Bateman, Chance			-	-																-					
Bowyer, Glen						3	-	-	-	1	1	2	1	1	3	-	-	2	-	5	1	3	1	-	24
Chapman, Nathan												1	-	-											1
Chick, Daniel	3	-	-	-	1	1	-	2	1	1	1	-	-	3	1	2	3	5	6	4	1	4	5	5	49
Collica, Michael	-	1	1	-	3	-					-	-													5
Crawford, Shane	2	3	4	7	4	1	5	2			2	3	3	7	5	5	6	8	7	2		-	6	1	83
Croad, Trent	-	-	2	2	-	-	2	-	-	-	3	1	-	-	1	-		-	1	1		-	-	-	13
Dixon, Ben		2	2	-	-	-	-	2	2	1	1	-	1	-	1	-	-	-	-	2	1	1	-	-	16
Graham, Mark	-	-	1	2	-	-	-	1	2	-	-	-	1	-	2	1	2	-	-	-	-	2	3	-	17
Harford, Daniel	5	2	4	6	4	6	5	7	3	4	2	5	7	5	3	3	2			-	5	3	6	6	93
Hay, Jonathan	-	-		-	-		1	-	-	-				1	-	-	-	-		1	1	1	-	-	5
Holland, Nick	3	1	1	-			1	2	1	3	1	3	1	2	1	3	1	1	3	2	1	1	1	-	33
Johnson, Brett																1	-	2			1	1		3	8
Krummel, Brendan			2	1																					3
Lekkas, Angelo	2	1	1					1	3	1	-	1	1	4	-		1	-	2		-	3	-	1	22
Lord, Aaron	1				-	2											-	-	1	-					4
McCabe, Luke	3	3		1	2	4	2	-	1	-	1	1	-	2	-	-	3	1	4	3	2		-	1	34
McPharlin, Luke					-	-										-	1								1
Obst, Chris	1	-																							1
Picioane, Lance													3	2	2	-	2	1	-	1	-	2	-	1	14
Rawlings, Jade	-	-	1	1	1	2	-	1	-	-	1				-	-	-	-	-	-	4	1	1	-	13
Rock, Anthony	1	7	4	1	-	2	-	3	3	2	3	1	2	4	2	-	1	2	2	1	4	2	4	2	53
Rode, Steven					-																				
Salmon, Paul	2	-	1	3	3	2	6	-	5	1	3	5	3	3	7	5	3	5	-	1	3	4	1	1	67
Smith, Joel	-	1	-	-	-	-					-	3	2	-	1				1	2	-	1	-	-	11
Tallis, Rayden		2	-	1	-	1	1	-	-	-	2	-	-	1	1	-	2	1	2	1	2	1	1	-	19
Taylor, Richard	6		2	1	2	1	5	-	-	2	1	3	-	3	3			3	1						33
Thompson, Nathan	-	1	2			-	-	1	-	1	1	3	3	1	-	-	-	-	-	1	-	1	2	2	19
Treleven, Craig							2		3	4											1				10
Vandenberg, Richard			6	3	2	2	2	3	-	1	-	4	-			-	1	-	2						26
Woods, Tony	5	2	2	3			3	6	6	10	5	6	4	1	6	7	9	4	2	7	7	6	3	5	109
Young, Barry	2	1			1	2	-	1	2	1	1										-	-	1	-	12
Totals	39	29	40	33	25	33	37	35	34	35	31	42	34	41	41	30	37	35	36	36	35	37	37	28	840
Opponent	CW	CA	BL	ES	PA	AD	WB	KA	GE	WC	RI	FR	SY	SK	ME	CW	CA	BL	ES	PA	AD	WB	GE	KA	
