Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	Tot
Bardsley, Kristian																					2				2
Beveridge, Luke	6	7	-	4	18	6	7	4	6		9	3	6	5	3	14	7	3	3						111
Brown, Tony	10	7	8	2	2	-				13	3	3	4	5	6	10	8	6	8	5	12	7	2	7	128
Burke, Nathan	17	11	18	10	5		17	13	12	19	20	20	18	15	18	18	14	15	12	21		11	19	20	343
Campbell, Brad										1	5	6	7	5	7	3	11	5	4	4	7	5	4		74
Cook, Brett						2										3	3		8	4	-	3	1	6	30
Cranage, Sam																			3						3
Cripps, Jason	17	-				15	5																		37
Daniels, Jayson			9	3	5	9	2																5	8	41
Elliott, Tim									2	3	2	7	2	3	1	1	1	4	5		2	-			33
Everitt, Peter	10	19	11	14	5	11	14	14	8	7	14	20	18	13	10	19	12	8	20	9	8	16	10	10	300
Hall, Barry	1	6	2	6	4		4	5		15	3						3	-					5	3	57
Harvey, Robert	1	8	24	24	31	24	27	22	20	24	20	22	21	30	12	24	26	22	21	11	26	26	17	18	501
Healy, Daniel	2	5			5	13	9	13	4	5	12	5	5	1	4	5	11								99
Heatley, Jason	7	9	6	6	4	-	4		5	8	9	9	11	5	3	5	7	8	9				6	1	122
Hudghton, Max	6	3	3	4	4	6	7	9	12	5	8	8	7	4	4	5	10	3	4	6	4	6	3	2	133
Jones, Austinn	10	6	8	12	13	15	13	5	15	6	13	9	16	8	13	9	10	6		7	15	12	8	9	238
Keogh, Rod	2	11	1	1						8												1			24
Knowles, Brett			14	6	1			6										4	3	5	19	7	3		68
Lappin, Matthew	6	2			6	9	5	5	7			1	8	3	6		1				19	7	10	10	105
Loewe, Stewart	11	15	15	13	12		9	18	8			10	5	12	6	7				11	11	14	6	6	189
McLaren, Joe						13	9	4	6									5	15	11	10	9	3	9	94
Mitchell, Gavin	11	5	6	11	13	6	6	14	5	6	9	3	6	6	7		10	5	2	2	3	9	9	5	159
Peckett, Justin	12	15	12	12	11	6	8	21	11		4	9	5	13	11	12		9	11	7	13	7		7	216
Sierakowski, David	7	15	7	5	2	4	2	9	6	9	5	1	7	5	6	3	5	6	4	4	3	4	7	1	127
Sziller, Steven	6	6	3	8		5	9	12	7	17	6	15	10	11	7	11	15	9	7	9			5	7	185
Thompson, Andrew	9	4	7	13	6			13	11	13	7	13	20	8	12	7	3	10	11	9	10	7	14	4	211
Thompson, Ben						8				6										10	3	5			32
Traianidis, Jason								3	7	3	3					6				8	3	6			39
Wakelin, Darryl	10	4	5	5	6	2	11	8	5	7	-	10	6	3	3	4	9	4	6	3	4			6	121
Wakelin, Shane	7	10	4	1	16	8	7	12	5	6	5	7	8	7	4	11	11	2	7	11	6	7	5	8	175
Winmar, Nicky	13	8	16	13	14	12	18	19	13	16	13	14	16	22	9	2	16	15	11	5		13	9	20	307
Young, Matthew			4	7	21	7	11	8	9	13	18	10	19	11	16	11	15	11	12	14	18		7	13	255
Totals	181	176	183	180	204	181	204	237	184	210	188	205	225	195	168	190	208	160	186	176	198	182	158	180	4559
Opponent	GE	ES	AD	HW	CA	WC	BL	PA	FR	SY	RI	CW	ME	WB	NM	GE	ES	AD	HW	CA	WC	BL	SY	ME	
