Player	R1	R2	R3	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R20	R21	R22	R23	R24	QF	SF	GF	Tot
Abbott, Paul				7								5		9	6											27
Allan, Ben	17	12	16	10	12	7	8	13	13	14	8	17	11	23	15	12	10	14	16	18	17	20	22	17	8	350
Anderson, Dean	26	16	14	12	17	24	15	19	19	14	16		13	13	15	13	16	3	21	7			10	9	7	319
Ayres, Gary	12	9	10	15	16	9	11	20	15	11	15	15	3				9	6	8	7	13	9	13	6	13	245
Brereton, Dermott	7						9			5	14	8	15	17	17	8	11	9	1	7	12	12	3		16	171
Collins, Andrew	7	7	5	9	13	5	9	6	11	7	4	10	11	11	12	8	15	12	13	6	15	12	6	9	4	227
Condon, Anthony	12	19	17	8	14	14								16	17	13	13	10	19	7	27	9	17	16	18	266
Cooper, Paul										3		17	-	15	10		7		12							64
Dear, Paul	11	9	5	9	6	5	7	11	3		4	9	8	2		6	15	2	13	6	10	9	12	8	18	188
DiPierdomenico, Robert											11															11
Dunstall, Jason	5	15	14	19	10	7								7	6	8	6	13	12	5	10	10	8	13	9	177
Gowers, Andrew		5	10																		9	23	15	16	12	90
Hall, Tony			2		5				12	10	6	15	12	16	4	4	16	6	15	8	12	10		4	6	163
Hudson, Paul	9	8	15	12	17	5	21	16	19	6	14	18	17	16	15	16	11	15	24	9	11	15	11	12	11	343
Jarman, Darren	13	13	10	15	12	11		8	9	14	21	18	23	16	19	20	15	8	6	12	7	4	7	11	5	297
Jencke, Ray	11	14	19	11	12	12	14	9	13	15	13	14	12	12	9	12	13	10	13		7	9	13	12	15	294
Johnston, Michael												17	8													25
Kennedy, John	14	5		3																						22
Langford, Chris	9	9	8	10	16	10	11	11	7	11	11	9	9	3	5	13	12	10	10	5	7	13	7	10	5	231
Lawrence, Stephen	6	12	11	12	10	3	6	11	7	6	10	7	13	19	12	13	-	2	11	12	10	12	22	7	16	250
Madigan, Greg						-	6	9	7	5			5		1			7	1	4						45
Maginness, Scott	7			7	9	11	13	10	10	6	5										4					82
McDonald, Alex		9	4		3	8	2																			26
Mew, Chris					11	13	13	1			10	11	5			9	10	16	15	17		26	11	10	16	194
Morrissey, James	9	6	3		5	9	16	5	12	3		5			8	18	14	10	15	8	9	12	12	12	15	206
Nugent, Glenn							15	12	5	7						9	11									59
Platten, John	11	19	20	19	18	19	11	27	16	14	12	18	12	20	18			19	22	15	19	15	15	15	16	390
Pritchard, Darrin	16	19	14	14	20	13	7	18	18	17	9	15	15	11	10	9		18	14	9	25	17	18	8	17	351
Robran, Matthew	7							14	16	8	4						3							3		55
Schwab, Peter				3			10																			13
Tuck, Michael		10	14	7	2		18	11	4	10	7		17	10	21	8	6	15		7	13	17	11	14	7	229
Whittlesea, Gregory						3						5		-		6										14
Wittman, Chris	15	12	14	13				11	2		7	15	9	15	17	8				10	7	11	5			171
Totals	224	228	225	215	228	188	222	242	218	186	201	248	218	251	237	213	213	205	261	179	244	265	238	212	234	5595
Opponent	AD	SY	RI	FO	FI	WC	CA	ES	CW	SK	GE	BB	ME	NM	AD	SY	RI	FO	FI	WC	CA	ES	WC	GE	WC	
