Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	PF	Tot
Anthony, John	1	3	1	1	1	-		3	-	1	1	-	-	2	-	2	-	2	1	3	2	1	-	2	1	28
Barham, Jaxson				-	-	-	-										-	1								1
Beams, Dayne		1	1	-	1	-		-					-	-	-	-	-	1	-	1	2	3	1		-	11
Brown, Leigh		-	3	-	2	-	-	-	-	3	-	-	1	1	-	2	-	-	-	-	1		1	1	2	17
Brown, Nathan	-	1	-	-	-	-	-	-	-	1	-		-	-		-										2
Bryan, Chris	-																									
Clarke, Martin	-	-	1	-	2	1	-	-	1	-	1	-														6
Cloke, Travis	-	-	-	-	2	2	-				-	2	1	2	1	1	1	2	1	3	2	2	2	1	1	26
Cook, Ryan								-	-																	
Corrie, Anthony						-	1	1																		2
Cox, Shannon	-	-	-	-	-			-	-	-	-	1	-													1
Davis, Leon	1	-	-	-	2	1		2	2	-	1	1		1	1	1	4	3	-	1	1	-	1	1	-	24
Dawes, Chris													1				-		1	1						3
Dick, Brad		2	1						1	1	2	-	1	1	1	1			2	-	1	1		1	1	17
Didak, Alan	-	-	1	1						-	3	1	-	-	-	-	1	1	-	1	1	1	-	1	-	12
Fraser, Josh	-	-	3	1	-	-	-		1	-	1	-	1	1	-						-	1	-			9
Goldsack, Tyson	-			-	-				-				-	-	-			-	-			-		-	-	
Johnson, Ben	2	-	-												-	-	-	-	-	1	-	-	-	-	-	3
Lockyer, Tarkyn	-	1	3	-	-	1	-	2	1	-	-	1	-	1	-	1	1	1	-	1	1	1	-	-	-	16
Lumumba, Heritier	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Macaffer, Brent					1	1	-																	1	1	4
Maxwell, Nick	-	-	-			-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	1	2
McCarthy, John																						-	-			
Medhurst, Paul	-	2	1	2	2	1							1	-	-	-	-	3	2	2	2	1	-	-		19
OBree, Shane	-	-	-	1	-	-	1	-	-	-	1	-	1	-	-	-	-	-	1	2	2	-	-	1	-	10
Pendlebury, Scott	1	-	-	2	-	-	-	-	-	-	1	-		-	-	-	-	-	-	-	-		-			4
Prestigiacomo, Simon	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-	2
Reid, Ben	-							1																		1
Rocca, Anthony				1	-		1																-			2
Shaw, Heath		-	-				1	-	-	-	-	-	1	-	-	-	-	-	-	-	-	1	-	-	-	3
Sidebottom, Steele							-	-	1	-	-	1					-	-					-	-	1	3
Stanley, Danny							-																			
Swan, Dane	-	2	1	-	1	-	-	1	3	2	1	-	1	2	2	-	-	3	-	2	-	1	1	-	2	25
Thomas, Dale	-		1	-	-	1	1			-	-	1	-	-	-	1	1	-	-	-	1	1	2	-	-	10
Toovey, Alan	-	-		-	-	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2
Wellingham, Sharrod						-	1	-	-	2	-	-	-	-	1	-				-	-	-		-	-	4
Wood, Cameron								-	2	-		-				-	-	-	1	-	-	-		-	-	3
Totals	5	12	17	9	14	9	7	10	12	10	12	8	9	12	6	9	8	19	9	18	16	14	8	9	10	272
Opponent	AD	ME	GE	BL	ES	NM	SK	CA	WC	PA	ME	SY	FR	ES	WB	HW	CA	BL	AD	RI	SY	WB	SK	AD	GE	
