Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Ballantyne, Hayden													1	-	-	-	1	1			2	-	5
Bradley, Kepler	1	2	-	2							-	-		1	-	2	1	-	1	-	-	2	12
Broughton, Greg			-					1		1	-	2	1	-	1	-	-	-	1	-	2	-	9
Browne, Andrew	1	-																					1
Campbell, Adam											-	-				1							1
Clarke, Zac													-	-	1	-	-						1
Crowley, Ryan	3	-	-	2	2	1																	8
Dodd, Steven	1	2	1	-	1	4	-	1	1	1	-	1	-	-	-	1	1	1	1	1	-	2	20
Drum, Marcus	-																		-	1	1	-	2
Duffield, Paul	2	1		2	-	-	3	-	1	-	1	1	-	3	2	1	-	1	-	-	1	-	19
Foster, Andrew										-	1	1	-			1							3
Gilmore, Daniel			-	-										-									
Grover, Antoni	1	-	-	1	1	1	1	-	-	2		1	1	-	-	3	2	1	-	-	-	1	16
Hasleby, Paul	1	-	1	2	2	-	-	1	-	3	2	-	1	-	-	1	1	-	2	-	-	1	18
Hayden, Roger				1	1	3	3	1	1												2	2	14
Head, Josh	1	1	-	2						-	-												4
Headland, Des									-	-			1	3				-	1	-	2	1	8
Hill, Stephen	-	1	-	2	-	1	1	3	1	1	-	1	1	1	-	3	1	-	-	-	-	-	17
Hinkley, Clayton			-		1	1	1	-	1					2	-								6
Ibbotson, Garrick	-	1	1	2	-	-	-	1	1	-	-	-	-	1	-	1	-	-	2	-	-	-	10
Johnson, Michael	1	-	-	-	-	-	1	-	1	-													3
Mayne, Chris																		-	-	-	-	-	
McPharlin, Luke	-	2	-	1	2	3	2	2	2	1		1	-	1	-	2				1	-	1	21
Mundy, David	2	-	2	1	1	-	-	1	-	-	-	1	-	1	1	-	-	1	-	-	3	1	15
Murphy, Ryan	1				1	-	-	-	-						-								2
Palmer, Rhys	1	-	1	1	2																		5
Pavlich, Matthew	1	1	3	-	1	2	-	-	-	-	1	-	1				-	1	1	-	1	3	16
Peake, Brett	2	-	-	1	1	1	3	1	1	1	2		1	1	1	-	-		2	1			19
Pearce, Clancee											1	-				1	-	1	-		-	1	4
Pratt, Luke							-																
Ruffles, Tim															-	-	-						
Sandilands, Aaron	1	1	1	4	2	4	-	2	-	1	-	2	1	2			2	1	1	1	-	2	28
Schammer, Byron	1	1	3	2	-	-	4	1	2	-	2	3	-	1	1				1	-	-	2	24
Solomon, Dean		3	2	-	3	-	-	1	2	-	3	-	1		1	-	5	2	1	1			25
Suban, Nick	-	2	-	-	-	1	-	1	-	-	1	1	1	-	4	2	1	1	-	1	2	2	20
Tarrant, Chris	1	2	-	3	1	-	-	-	3	-	-	-	-	1	-	-	1	-	1	1	1	-	15
Thornton, Scott		1			-	-	1	-	-	-	2	-	-	-	-	1	-	-					5
Walters, Michael											1	1						-					2
de Boer, Matthew						3	-	1	2	-	-	3	-	1	-	1	2	1	-	-	-	3	17
van Berlo, Jay																	-	-	-	-			
Totals	22	21	15	29	22	25	20	18	19	11	17	19	11	19	12	21	18	12	15	8	17	24	395
Opponent	WB	ES	AD	SK	SY	WC	CA	HW	NM	RI	PA	GE	CW	CA	AD	BL	WC	WB	PA	ME	ES	GE	
