Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	Tot
Ball, Jason	24	13	9	8				17	20	13	10	12	23	11	14	20	9	24	12	18	11	12	7	287
Banfield, Drew	15	10	12		12	18	16	25	12	20	16	23	22	19	18	15	17	14	21	20	5	19	16	365
Braun, Michael	27	19	13	6	10		4			23	18	16	10	16	13	14	23	16	17	22	9	12	14	302
Cousins, Ben	27	8	19	25	5	23	19	21	23	16	22	24	30	12	17	30	25	23	21	22	35	20	22	489
Crabb, Jaxon					10			2																12
Donnelly, Andrew		10				12	7	16	11	12	4	11	12	17	10					13		8		143
Evans, Tony	7		18	6					19	4														54
Fewster, Brendon							5	9	3	-				3	7	22	25	11	2	12	13	10	5	127
Gardiner, Michael	10	12	11	9	17	12	14	9	3	4	11	15	1	7									19	154
Gehrig, Fraser	10	21	16	17	20	14	11	12	11	17	18	13	12	12	9	9	19	7	12	7	7	10	8	292
Grgic, Ilija					1																			1
Heady, Brett	20	3				10					8	13	17	13	17	17	20	3		12	21	14	-	188
Holmes, Todd					9	5	-																	14
Jakovich, Glen	19	27	19	21	16	27	24	23	12	17			7	9	10	8	18	20	17	10	18	4	13	339
Jones, Rowan																			4	1				5
Kemp, Dean	26	17	20	30	17		17	28	14	18	21		26	17	28	8					20	26	9	342
Lewis, Chris	4	12	11	23	11	8			8	11	4							16	6	14	12	12	20	172
Lovell, Andy			9			8								5			10							32
Mainwaring, Chris																				10	3	3		16
Marshall, Neil																	11	1						12
Matera, Peter	23	25	14	16	21	21	21	16	15	21	11	15	17	7	26	22		14	21	21	18	10		375
Matera, Phillip	10	13	7	6		17	3					20	1		17	13	11	7	5				12	142
McIntosh, Ashley	11	18	11	10	13	16	12	10	15	9	11	9	19	17	12	22	14	11	5	16	11	16	10	298
McKenna, Guy	12	30	17	22	13	12	16	6	17	20	16	1	21	26	20	19	23	20	19	11	12	17		370
Metropolis, Daniel						8	16	8	16	20	17	12	19	21	7	-		9	12		11		2	178
Morrison, Chad	17	6		18	13	17	17	16	17	10	11	19	16	18	23	17	15	25	12	27	15	15	19	363
Read, Phillip	3		6	7	11	16	11	18		8	7	10	12	11	16	12	15	14	16	23	12	23	16	267
Schofield, Jarrad	12	21	16	7		6	10	14	1		4	1					26	22	3				12	155
Sikora, Shane														4										4
Stone, Nicholas	12	7	9		1				16		16	3	19	12	1	16	-	1					16	129
Symmons, Paul				12	18	11		19	12	16	14	12	18	26	12	20	12	14	13	21	17	9	13	289
Turnbull, Ryan	6	8	3	7	11	2	1					1												39
Waterman, Chris		17	16	22	30	18	27	23	6	16	25	25	24	27	19	11	19	19	12	5	6	16	28	411
White, Mitchell				11	7					19	14	13	12			13	12	12	21	12	7	14	10	177
Williams, Andrew															7		4		6	9	1			27
Wirrpanda, David								5																5
Wooden, Josh	6	13	14	11		18	11	11	-		8					14					11	14	3	134
Worsfold, John	13	10	14	8	4		11	13	15	8		8	1		10	7	12		11	10		9		164
Totals	314	320	284	302	270	299	273	321	266	302	286	276	339	310	313	329	340	303	268	316	275	293	274	6873
Opponent	NM	CW	FR	SY	RI	SK	AD	CA	GE	WB	PA	HW	ES	ME	BL	NM	CW	FR	SY	RI	SK	AD	WB	
