Player	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	R24	EF	Tot
Anderson, Greg	28	17	25	18	15	23	32	27	28	21	31	25	24						21	18	22	16	27	418
Bailey, Dean		19			21	16	29	17	7															109
Bewick, Darren		25	14			22	6		28	26	11	29	26	24	33	29	16	23	36	15	15		14	392
Burns, Adrian				10			12			7														29
Considine, Ed			18	16		8															19	20	18	99
Cransberg, Peter	17	15	9	14	8	15	16	17	16	17	14	13	15	10		15	19	13	17	15	17	9		301
Daniher, Anthony	7	11	12	7	22	10	19	12	11	13	4	5	17	8	11	5								174
Daniher, Chris						22	14	19						7	18	20	26	18	4					148
Daniher, Terry												17	30	10	8	21	11	20	23	23	19	15	18	215
Ezard, Alan	30	26	18	26	27	23	20	21	21	18	20	27	22	15	20	24	37	26	24	21	22	14	23	525
Filandia, Peter			19	15							12	22	22	9	16	28	23	10	10			8		194
Flood, David		6	11	4	12		10		7	5						9	16	15	13	9				117
Fox, Brad	18	2					16	17	4	9	16	7			15					12				116
Hamilton, Paul	9		15	9	9	10	9	10																71
Harvey, Mark	20	24		16	22	18	18	9									21	21	14	14		8		205
Heard, Shane	11	24		7	13	13	4											21	10		12	12	11	138
Hills, Paul								14	18	8	15	8	10	15		8	19	30	21	8		18	12	204
Johnston, David														23	10	25	27	18	21	16	19	11	16	186
Kickett, Derek	15	11	23											15	18	14	17	17	16	13	15	25	20	219
Long, Michael	24	22	21	21	18	19	3			25	17	20	27	11	14	24	7			10	4		15	302
Madden, Simon	11	19	15	13	9	15	19	9	12	16	15	3	6	11	4	13	18	15	9	7	12	11	12	274
Manning, Andrew			13	8									18	11										50
McMullin, Ian	18	14	22	19	8			13	13	20	11	18	17	15	14	19	19	17		19	12			288
Morrish, Paul								13	12	13	8	8	17		-									71
OBrien, Craig	12		36	20	12	14						22	13					23	22			17	12	203
ODonnell, Gary	17	19	29	15	17	18	19	19	26		22	23	22	11	11	24	24	13	17	25	21	18	17	427
Plain, Bradley				21	19	20		11	18		3						11	11	28	15	8			165
Ridley, Todd	13	9	8																					30
Robertson, David								12	22	7														41
Salmon, Paul	12	15	5		14	10	8			16	11	23	17		12	20	18	25	20	23	24	17		290
Somerville, Peter	19	13	17	11	11	12	12	6	3	7		2		17	6	10	6				7		9	168
Sporn, Kieran					17	18	18	13	13	19	13	12	25	14	17	13						17	10	219
Thompson, Mark	22	11									18	15	21	21							27	13	16	164
Wallis, Dean															8	15	12	8	14	17	1			75
Walsh, Kevin																							14	14
Wanganeen, Gavin	8	13	11	8	16		16	12	20	15	21	20	15	7	3					22	19	7	11	244
Watson, Tim	18				26	6		8	23	23	19			14	16	32	32	18	25	18	22	20	11	331
Werner, Michael									13	6	6		-									15	6	46
Totals	329	315	341	278	316	312	300	279	315	291	287	319	364	268	254	368	379	362	365	320	317	291	292	7262
Opponent	RI	NM	AD	SY	BB	CA	WC	HW	SK	ME	CW	FI	FO	GE	RI	NM	AD	SY	BB	CA	WC	HW	ME	
