Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Armstrong, Steven				6	4	4	5		4	4				6	5		7	10	9	11	9	6	90
Braun, Michael	11	4	5	4	9	3	2	3	3	10	3		4		2		11	2	10	-	6		92
Butler, Sam											9	9	2								5	9	34
Cox, Dean	13	10	8	3	9	10	14	9	3	11	8	5	12	6	10	12	5	7	5	6	7	12	185
Davis, Ryan								2	3		5	4		4	4	4			3	4	2	3	38
Ebert, Brad		4	3			3	3	5	14	6		3	6	3	4	5	9	5		4			77
Embley, Andrew	4	4	5		5	5	5	6	7	7	8	5	7	4	9	7	4	4	7	8	8	3	122
Fletcher, Chad	5	5	6		8		9	6	10	10	7		10			8	4	7	8	3	14	3	123
Glass, Darren	5	5	3	3	6	3	2	8	5	2	5	1	5	8	4	4		2	4	6	4	9	94
Graham, Jaymie	6	2					6	2			3			2									21
Hansen, Ashley	3	1	4	3									3	2	4	7	6	5	3		8	2	51
Houlihan, Tim									3	2	4	4	3	6	1	2							25
Hunter, Adam	4	9	5	4	4	6					5	8	8	6	1								60
Hurn, Shannon	5	6	3	10	4	2																	30
Jones, Brett	9	3	4	6	4	6	3	4	7	2	8	8	3		4								71
Jones, Chad					2	-	3																5
Kennedy, Josh						5	6	6	3	4					3	7							34
Kerr, Daniel	13	11	15	11	11	13				5	13		10	10	9								121
LeCras, Mark	2											4	3	4	5	4	7	5	5	5		1	45
Lynch, Quinten	7	6	2	5	9	5	7	2	5	9	8	9	5	6	4	8	11	7	12	8	9	14	158
Mackenzie, Eric																5	3	4	1	4	3	1	21
Maister, Beau									6	7	4	6	5	5	5	4	7	2	4	6	4	2	67
Masten, Chris		3		6	4	3	8	9	5		5	3											46
McKinley, Ben			5	4	5	5	5	5	4	1			3	2	6	5	5	10	7	4	3	2	81
McNamara, Jamie				3			8					8		1		7	4	8	8	6	4	1	58
Nicoski, Mark	4	2	2	2	3		5	2			3	8	8	1	2	2	4	4	6	3	4	2	67
Notte, Tony																				6	3		9
Priddis, Matt	10	14	13					12	18	14	4	8	7	9	6	7	7	6	12	10	12	10	179
Rosa, Matt	5			4	3	5	4	11	10	5													47
Schofield, Will						2	2	4	4	4		4	3	-								4	27
Seaby, Mark	8	5	2	5	3			1			5	1					8	4	7	4	9	2	64
Selwood, Adam	7	3	4	2	8	3	5	8	3	6	12	10	-	2	4	10	4	2	7	7	9	5	121
Selwood, Scott			6	6												-	7	5	1	2	7	4	38
Spangher, Matthew				3	1												3		4	5	2	1	19
Staker, Brent	4	3	6	1		8		10	6	2	14	4		8		12	7	8					93
Stenglein, Tyson	6	3	3	5	10	4	17	9	8	6	3	11	7	2	4	5	2	1	8	2	5	6	127
Waters, Beau	7	6	4	2	4	2	2			1													28
Wirrpanda, David	7	5	3		7	9	3	4	8	6	5	4	7		8	4	2	4	6				92
Totals	145	114	111	98	123	106	124	128	139	124	141	127	121	97	104	129	127	112	137	114	137	102	2660
Opponent	BL	AD	FR	SY	PA	WB	CA	NM	AD	CW	SY	ES	GE	HW	RI	BL	SK	FR	ES	ME	HW	GE	
