Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R13	R14	R15	R16	R17	R19	R20	R21	R22	R23	R24	Tot
Banner, Mitchell						On									-	-	On	-	-	-	-	-	2/0
Boak, Travis	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	Off	-	-	-	0/1
Broadbent, Matthew	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			-	-		On	-	1/0
Brogan, Dean	-	-	-	-		-	-	-	-	-	-	-										-	
Butcher, John																			-	-	-	-	
Carlile, Alipate	-	-	-	-	-	-	-	-	-	-	-	-	-						-	-	-	-	
Cassisi, Domenic	-	Off										-	-	-	-	-	-	-	-	-	-	-	0/1
Chaplin, Troy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	-	-	-	
Cornes, Chad		-	-	-	-	-									-	-	-	-					
Cornes, Kane	-	-	-			-	-	-	-	-	-	-	-	On	-	-	-	-	-				1/0
Davenport, Jason		On	On		On													On					4/0
Ebert, Brett				-	-	-	-	-						-	-	Off	-	-			-	-	0/1
Gray, Robbie	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Hartlett, Hamish			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-					
Hitchcock, Cameron	On	-		On	-	-	-			Off					On	-	-	-	-	-			3/1
Irons, Jarrad	-	-	Off																				0/1
Jacobs, Ben								-	-	-	-	On	-	-	-	-		-	-	-			1/0
Jonas, Tom																			-	-	-	On	1/0
Lobbe, Matthew													-	-	-	-	-	-	-	-	-	-	
Logan, Tom	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-			-	-	-	
Moore, Andrew								On	-	On	On		-	Off									3/1
Motlop, Daniel			-	-	-	-	-	-	-	-	-	-								-	-	-	
OShea, Cameron	-	-	-	-	-	-			-	-	Off	-	-	-	-	-	-	-			Off	-	0/2
Pearce, Danyle	-	-	-				-	-	Off	-	-	-	-	-	-	-	-	-	-	-	-	-	0/1
Pettigrew, Michael				-	-	-	-	-	-	-	-	-				-	-	-					
Phillips, Simon							On	-	-	-	-	-	-	-									1/0
Pittard, Jasper	-	-	-	-	-	-	-		-	-	-	-	Off					Off					0/2
Rodan, David	-	-	-	-	Off	-	Off						On	-	Off	On	-		-	On	-	-	3/3
Salopek, Steven	-			-	-			-	On							-	-	-	-	-	-	-	1/0
Salter, Nick														-	-	-	-	-	-				
Schulz, Jay	Off						-	-	-	-	-	-	-	-	-	-	Off		-	Off	-	-	0/3
Stewart, Daniel	-	-	-		-		-	Off				Off	-	-	-			-		-			0/2
Stewart, Paul	-	-	-	-		-	-																
Surjan, Jacob				Off	-	Off					-								-	-	-	Off	0/3
Thomas, Matt	-	-	-	-	-	-		-	-	-	-	-	-	-	-	-	-		On	-	-		1/0
Trengove, Jackson	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Westhoff, Justin	-	-	-	-	-	-	-	-	-	-	-	-	-	-			-	-	-	-	-	-	
Totals																							
Opponent	CW	WC	GE	AD	GC	NM	HW	SY	FR	RI	CA	WC	NM	BL	SK	ME	AD	CW	HW	WB	ES	ME	
