Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	EF	SF	Tot
Alessio, Steven			4	-	1	6	3	8	18	7	10	5		10	1	4							1	1	79
Bannister, Jordan					-									1	4	3	-								8
Barnard, Paul	8	7	5	1	15	3	15	10	14	7	6	10	9	8	8	4	6	7	10	3	5	10	13	7	191
Blumfield, Justin	12	16	10	6	5	9	20	14	7	13	7	11	18	7	11	6	10	9	12	4			2	5	214
Bolton, Mark	2	2	2				2			3	1	2	5	5	7	11	7	10	12	10	14	14	10	4	123
Bullen, Marcus																					8	3			11
Caracella, Blake	19	15	13	14	14	1	7	22	7	15	8	12	10	15	15	19	11	6	9	12	9	12	9	13	287
Davies, James											1														1
Fletcher, Dustin	12	6	8	9	11	15	13	5	16	15		17	14					3	8	13	10	13	14		202
Forster-Knight, Robert	6	7	6	8	11	1	10	11	2	10	7	7	3	4			2		6	2				6	109
Hall, Ken												-													
Harvey, Shane						5	3	6	2	7								2				8			33
Heffernan, Chris	11	6	6	13	18	7	8	10	14	8	5	9	18	5	4	5	9	7	2	5	7		9	9	195
Henneman, Aaron	4	6	4	3	8	-						4										-			29
Hille, David	7	4	3	7	9	9	7	8	-		4	4	6		7	7	6	2	2		2	6			100
Hird, James	20	14	23	19	17	7								18	18	19	12	13	12	15	8	9		8	232
Hunt, Sam																				3		13	6		22
Jacobs, Danny	7	15	12	7	13	13	9	17	16	16	12	7	23	10	11	8	12	7	9	6	6	4	8	9	257
Johnson, Jason	25	16	16	15	10	9	22	14	5	10	12	18	5	17	12	15	16	15	8	13	9	10	17	15	324
Johnson, Mark	8	8	11	10	3	14	13	9	13	7	5	14	13	3	9	9	11	13	9	12	14	14	14	11	247
Lloyd, Matthew	12	13	7	10	7	4								12	10	8	10	3	5	15	15	12	-		143
Lucas, Scott	12						1	13	8	11	11	8	13	16	14	4	16	19	4	16	17	19	21	12	235
McAlister, Daniel						5						4	3												12
McGrath, Cory				1	5	7	5	1																4	23
McVeigh, Mark	6	8	10	4	6	19	13	9	13	4	13	9	13	9	11	7	8	7	6	13	11	10	10	4	223
Mercuri, Mark	15	8	8	16	12			8	9	8	4	8	5												101
Misiti, Joe	16	13	12	17	13	18	3										5	9	13	17	8	14	19	12	189
Moorcroft, Gary	8	13								5	7		2		6	10	4	9	5	15	10	7	10	2	113
Peverill, Damien	8	13	5	15	6				10	10	10	3	7	12	10	4	12	12	10	5	13	9	10	8	192
Ramanauskas, Adam	14	11	12	7	12	12	14	15	10	26	7	14	9	11	9	11	15	14	-		12	8	14	18	275
Reynolds, Joel			2	3				5	3	5	-			1	2	2									23
Richards, Ted		3		1																					4
Rioli, Dean					3	1	4	9	8				6	11	4	11	18	9		11	7		13	10	125
Salmon, Paul							9	3	6	2	4		8	4			4	2	8	7	5	4	1	4	71
Wellman, Sean	15	13	1			11	12	9	8	13	11	9	14	13	13	14	8	6	9	16	8	13	16	11	243
Welsh, Andrew							10	13	1	3	10	8	11	7	6	7			6	9	5		8	9	113
Totals	247	217	180	186	199	176	203	219	190	205	155	183	215	199	192	188	202	184	165	222	203	212	225	182	4749
Opponent	GE	RI	BL	AD	CW	FR	CA	SK	SY	KA	PA	HW	ME	WB	WC	GE	RI	BL	AD	CW	FR	CA	WC	PA	
