Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	Tot
Adams, Leigh	-	1	-	-	3	-	1	2	-	1	1	1	-	1	2	-	1	2	-	-			16
Anthony, Liam	-	1		-	-							1											2
Atley, Shaun	3	1	1	1	2	-	2	-	2	-	-	2	1	4	2	1	-	-	-	1	2	1	26
Bastinac, Ryan	2	-	1	2	1	-	1	1	1	-	1	-	2	-	-	-	-	1	2	-	2	-	17
Black, Aaron					2	2	2	2	3	4	2	1	2	3	-	-	-	1	-	2	-	1	27
Cunnington, Ben	1	-	-	2	1	1	1	-	2	3	1			-	-	-	2	1	2	1	1	1	20
Daw, Majak				-	2	-	1	-	-														3
Delaney, Cameron																	3						3
Delaney, Luke																		3	9	5	2	2	21
Firrito, Michael	1	4	2	3	8	3	-	1	3	1	5	2	3	3	5						6	10	60
Garner, Taylor																			-			1	1
Gibson, Sam	-	2	-	-	-	-	1	-	-	-	2	1	-	-	1	-	-	1	1	-	-	-	9
Goldstein, Todd	2	-	3	3	3	2	3	3	3	2	1	1	3	3	3	3	1	3	2	7	1	4	56
Greenwood, Levi												2	-	1	-					1	1		5
Grima, Nathan	8	4	11	10	8	3		2	4	4	19	12	3	4	2	9	4			4			111
Hansen, Lachlan	3	-	1	1			3	1	5	3	-	3	-	5	-	7	6	3	3	4	5	4	57
Harper, Kieran	4	2	-																				6
Harvey, Brent							1	1	1	-	-	-	1	-	1	2	-	-	1	-	1	1	10
Hine, Taylor			-	1	1	-				1	3	3	-	3	-	2	-	1	1				16
Jacobs, Ben	1	-																1	2	1	1	-	6
Macmillan, Jamie	-	1	1	-	3	1	2	2	-	3	2	-	-	1	3	3	2	2	3	-	4	3	36
McKenzie, Brad												-	3	1	-	1	1	-		-	-	1	7
McMahon, Scott		5	8	-	2	4	3	2	3	1	7					2							37
Mullett, Aaron	3	-	-	2	3	-	-	-	1	-	-	3	1	2	2	1	1	1	1	1	2	-	24
Petrie, Drew	1	1	3	1	2	2	2	2	6	3	9	2	4	2	1	3	3	3	5	3	4	1	63
Sierakowski, Will						1	2			1	2									-	-	3	9
Swallow, Andrew	1	2	1	2	1	1	1	-	2	1	-	-	1	1	-	-	-						14
Tarrant, Robbie	-	2	1										-	-	-	-	1	1	1	1	-	1	8
Thomas, Lindsay	-	2	-	-	1	1	-	2	1	2	-	-	-			1	1	1	1	2	1	1	17
Thompson, Scott	3	7	2	10	4	6	10	3	6	7	7	4	1	3	8	4	3	3	2				93
Wells, Daniel	3	2	3	2	1	-	1	2	1	2	2	-	-	1	1	1	2	1	-	2	2	1	30
Wright, Sam	3		-	-	1	-	1	1	1	1	-	1						2	-	-	-	-	11
Ziebell, Jack	2	1	2	-	1	-	2	1	-				1	2	1	2	2	-	1		1	2	21
Totals	41	38	40	40	50	27	40	28	45	40	64	39	26	40	32	42	33	31	37	35	36	38	842
Opponent	CW	GE	SY	BL	HW	PA	WB	WC	AD	SK	GC	FR	GW	RI	BL	CA	ME	GE	AD	ES	HW	CW	
