Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Abraham, Winston	-																						
Archer, Glenn	-	-	-	3	-	-	-	-	-	-	-	-	-			-	-	-	2	-	2	-	7
Blakey, John	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Burton, Matthew	-	-	-	-	-		-	1	-	2	-	-	-	-	2	-	-	-	-	-	-	-	5
Carey, Wayne			-	-	-		-			-		-	-	-	-		-	-	-	-	-		
Clayton, Shane	-	-	-	-		-	-	-	-	-	-	-	-	-	-		-	-	-	-	-	-	
Cochrane, Stuart	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		-	
Colbert, Leigh	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-							
Grant, Shannon	-	-	-	-	-		3	3	2	-	3	-	3	-	-	-	-	-	-	-	-		14
Harding, Leigh																	-	-					
Harris, Daniel	-	-	-	-	-	-										-	-						
Harvey, Brent			-	2	-	-	-	2	-	3	-	-	1	2	3	-	2	-	1	-	-	-	16
Hilton, Mark																						-	
Jones, Corey				-	-	-	-		-	-	-	-			-	-				-	-		
King, David		-	-	1	-	-	-	-	-	-	-	-	-	3	-	-			3	-	-	-	7
Lange, Adam									-														
Makepeace, Troy	-	-	-	-	-	-	-						-	-	-	-	-	-	-	-	-	-	
Martyn, Mick				-	-	-	-	-	-	-	-				-			-	-				
McCartney, Jason	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
McKernan, Corey	-	-	-	-	-	-		-	-	-	1	-	-	-	-	1	-	-	-	-	-	-	2
McLaren, Joe						-	-	-	-	-	-	-						-	-	-	-	-	
Morrell, Digby						-	-					-	-	-		-	-						
Motlop, Daniel																					-	-	
Motlop, Shannon	-	-					-	-			-	-	-	-	-	-	-	-	-	-	-	-	
Olarenshaw, Ricky					-																		
Petrie, Drew	-	-				-	-	-			-									-	-	-	
Pickett, Byron	-	-	-	-	-	-	-	-	-	-	2	-	-	-	1	-	1	-	-	-	-	-	4
Rawlings, Brady	-	-	-	-				-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Rocca, Saverio	-	-	-		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Simpson, Adam	-	-	-	-	-	-	-	-	-	-	-	-	2	-		-	-	-	-	-	-	-	2
Sinclair, Jess	-	-	-	-	-	-		-	-	-				-	-	-	-	-	-	-	-	-	
Smith, Dylan	-	-	-			-																	
Smith, Lindsay								-															
Spaull, John																		-	-			-	
Stevens, Anthony	-	-	-	-	1	-	-	-	-	1	-	3	-	1	-								6
Teague, David													-	-	-	-	-	-	-	-	-	-	
Watt, Shannon	-	-	-	-	-				-	-	-	-	-	-	-	-	-						
Totals	0	0	0	6	1	0	3	6	2	6	6	3	6	6	6	1	3	0	6	0	2	0	63
Opponent	ES	BL	SY	GE	AD	RI	CW	SK	CA	WB	FR	HW	PA	ME	WC	ES	BL	SY	GE	AD	RI	CW	
