Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Baker, Steven	-	-	1		1	2	-	-	-	-	-	-	-	-	-	-	-	-	1	-	2	-	7
Beetham, Caydn			-	-	-	1	-	-					-			-							1
Begley, James		-		-	-	-	-						1			-	-	1	-	-	-	-	2
Black, Heath	3	2	2	-		-	2				4	2	2	-	-	1	2	1	2	-	2	2	27
Blake, Jason	-	-	-	-	-																		
Burke, Nathan	-	-	-																				
Callaghan, Craig					1	-	-	-	4	-	-	1	-			-	-	-					6
Capuano, Matthew			-	-	-	-	-	-	1														1
Clarke, Xavier			1	-	1	1	1	5	6	-	4	1	-	-	-					-	-	1	21
Cripps, Jason	-	-	-	-	-			-	3	1	-	4	1	-	-	-	-	-	1	-	-	2	12
Dal Santo, Nick				-	2	-	-	-	1	-	2	-	2	2	1		-	-	1	1	-	1	13
Davis, Chad	-	-	-				-	-	-	-	-		-										
Everitt, Peter										1	-		-	-	-	-	-	-	1	-	-	-	2
Gehrig, Fraser	2						1						-	-	-	-	-	-	-	-	2	-	5
Hamill, Aaron	-	-	1	-		-	-			1	-	1	-	-	-	-	-	-	-	-	-	-	3
Harvey, Robert	1	-					-	-	1	-		-	-	-	1								3
Hayes, Lenny	-	-	2	-	-	-	-	1	1	2	-			1	-	-	-	-	1	-	3	-	11
Hudghton, Max	-	2	-	-	-	-	-	-	-	-						2	1	-	1	-	2	-	8
Jones, Austinn	3	3	-	2	-				-			3		2	-	-	-	4	-	2	5	4	28
Knobel, Trent	-	-	-	-	-	-	-	-	-	-	-	-	-										
Koschitzke, Justin	-	-	-	-																			
Lawrence, Steven	-	1		-	2	-	1	1	-	-	5	-	-	1	-	-	-	-	-	-	-	2	13
Loewe, Stewart	-	-	-	-					-	-	-	-	-	-	-	-	2	-	-		-	-	2
Maguire, Matt						-			-	-	-	-	-	-	-				-	-	-	-	
Milne, Stephen	3	2	-	1	8	2	-	-	2	4	-	-		-	2	5	2	-	1	-	4	2	38
Montagna, Leigh						-																	
Moyle, Brett										1	2	-		-	-	-	-	-	-	-	-	3	6
Oliver, Chris					-	-		-	-			-											
Peckett, Justin	1	1	-	-	-			-	-	3	2	-		-	-	1	1	1	-	-	4	2	16
Plapp, Justin								-															
Riewoldt, Nick	-	-	1	-	-	-	-	1	-	-	2	-	1	1	-	-	2	2	-	2	-	1	13
Schwarze, Troy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	-	-			3
Thompson, Andrew	-	-	-	-	-	1	-	1	-	-	-	3	1	1	1	2	1	-	-	1	-	-	12
Voss, Brett	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	1	1	-	-	-	-	4
Wulf, Daniel					1	-	-	1			-	1	1	-	-	-	-	-	-	-	-	2	6
Totals	14	11	8	3	16	7	5	10	19	13	22	16	9	8	5	12	13	11	9	6	24	22	263
Opponent	CA	FR	PA	GE	SY	CW	ME	ES	RI	WC	BL	WB	HW	KA	AD	CA	FR	PA	GE	SY	CW	ME	
